City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,coquimbo,-29.9533,-71.3436,62.33,67,20,11.5,CL,1699831860
128,vorgashor,67.5833,63.95,11.8,97,50,9.24,RU,1699831295
129,ojinaga,29.5667,-104.4167,57.58,100,100,8.05,MX,1699831860
130,lorengau,-2.0226,147.2712,84.54,63,63,4.03,PG,1699831861
131,bechar,31.6167,-2.2167,62.92,34,0,2.3,DZ,1699831861
132,racine,42.7495,-88.0751,53.29,55,0,9.22,US,1699831837
133,yellowknife,62.456,-114.3525,18.41,97,100,21.0,CA,1699831190
134,castelo do piaui,-5.3222,-41.5525,83.62,28,3,5.82,BR,1699831861
135,korpilahti,62.0167,25.55,32.54,92,100,9.06,FI,1699831862
136,iskateley,67.6803,53.1512,11.01,94,42,5.01,RU,1699831307
137,fallon,39.4735,-118.7774,60.67,27,0,9.22,US,1699831862
138,labuan,5.2767,115.2417,80.96,94,20,0.0,MY,1699831863
139,trondheim,63.4305,10.3951,32.09,83,37,6.51,NO,1699831823
140,novokayakent,42.3937,47.9861,58.93,60,37,1.41,RU,1699831863
141,namibe,-15.1961,12.1522,71.56,79,83,4.41,AO,1699831319
142,eirunepe,-6.6603,-69.8736,80.38,77,90,2.8,BR,1699831636
143,tazovsky,67.4667,78.7,12.6,96,94,11.34,RU,1699831864
144,al ghayzah,16.2079,52.176,79.09,71,0,1.43,YE,1699831864
145,chonchi,-42.6128,-73.8092,50.13,67,94,2.64,CL,1699831012
146,villa gesell,-37.2639,-56.973,56.05,59,64,15.88,AR,1699831865
147,college,64.8569,-147.8028,17.92,92,64,2.59,US,1699831734
148,hermanus,-34.4187,19.2345,57.9,84,1,9.19,ZA,1699831865
149,magadan,59.5667,150.8,11.93,61,100,8.86,RU,1699831867
150,acajutla,13.5928,-89.8275,81.86,81,43,3.56,SV,1699831867
151,kristiansund,63.1115,7.732,34.45,75,21,5.75,NO,1699831867
152,sao paulo de olivenca,-3.3783,-68.8725,75.87,95,83,0.76,BR,1699831868
153,sitka,57.0531,-135.33,46.29,61,0,0.0,US,1699831868
154,corner brook,48.9667,-57.9484,28.56,88,75,5.06,CA,1699831615
155,port hueneme,34.1478,-119.1951,86.36,26,0,8.05,US,1699831684
156,ilulissat,69.2167,-51.1,10.42,61,100,0.0,GL,1699831869
157,cascais,38.6979,-9.4215,67.51,95,7,7.0,PT,1699831373
158,imbituba,-28.24,-48.6703,70.75,98,89,3.94,BR,1699831870
159,saint-francois,46.4154,3.9054,56.64,84,100,10.36,FR,1699831870
160,sainte-anne-des-monts,49.124,-66.4924,30.07,74,54,14.97,CA,1699831871
161,ouadda,8.0777,22.4007,68.18,96,86,2.17,CF,1699831871
162,afaahiti,-17.75,-149.2833,85.87,83,28,10.02,PF,1699831275
163,vuktyl,63.8567,57.3094,25.11,98,99,3.0,RU,1699831871
164,tutoia,-2.7619,-42.2744,79.66,79,0,11.65,BR,1699831872
165,ronneby,56.21,15.276,37.9,100,100,1.14,SE,1699831872
166,languyan,5.2618,120.0807,82.33,80,2,3.65,PH,1699831872
167,assai,-23.3733,-50.8414,94.86,35,48,5.48,BR,1699831872
168,akureyri,65.6835,-18.0878,30.13,74,0,3.44,IS,1699831873
169,qaqortoq,60.7167,-46.0333,18.03,89,10,1.57,GL,1699831873
170,kailua-kona,19.6406,-155.9956,82.36,76,40,9.22,US,1699831318
171,northam,51.0333,-4.2167,56.66,96,100,17.43,GB,1699831873
172,mirny,62.5353,113.9611,5.23,92,100,1.99,RU,1699831874
173,port alfred,-33.5906,26.891,56.17,89,32,1.01,ZA,1699831874
174,nuku'alofa,-21.1333,-175.2,70.14,94,100,13.8,TO,1699831373
175,burang,30.25,81.1667,24.93,62,1,1.01,CN,1699831309
176,dudinka,69.4058,86.1778,30.67,98,100,17.0,RU,1699831875
177,phan thiet,10.9333,108.1,75.18,88,25,4.61,VN,1699831190
178,la sarre,48.8002,-79.1996,25.45,93,54,8.03,CA,1699831744
179,hawaiian paradise park,19.5933,-154.9731,80.78,79,20,5.75,US,1699831876
180,hirara,24.8,125.2833,71.87,73,75,25.32,JP,1699831876
181,ganshui,28.7422,106.7111,50.5,83,100,2.26,CN,1699831876
182,sokcho,38.2083,128.5911,38.01,35,0,10.36,KR,1699831876
183,santana,-0.0583,-51.1817,86.18,70,0,16.11,BR,1699831877
184,verdal,63.7933,11.4817,24.84,71,11,4.97,NO,1699831877
185,jiangyin,31.9282,120.3126,40.98,51,33,9.57,CN,1699831877
186,midland,31.9974,-102.0779,57.87,87,100,9.22,US,1699831844
187,gantang,26.92,119.6333,57.58,81,99,3.47,CN,1699831877
188,ocana,8.2377,-73.356,67.26,94,91,5.23,CO,1699831878
189,smithers,54.7804,-127.1743,30.52,93,100,8.05,CA,1699831279
190,ellsworth,44.5434,-68.4195,35.64,80,100,3.44,US,1699831878
191,nova vicosa,-17.8919,-39.3719,77.11,80,14,15.99,BR,1699831878
192,tlahualilo de zaragoza,26.1167,-103.45,59.97,81,100,9.01,MX,1699831879
193,gubkinskiy,64.434,76.5026,18.45,95,98,14.25,RU,1699831879
194,hamilton,39.1834,-84.5333,52.74,57,0,4.61,US,1699831805
195,enewetak,11.3474,162.3373,81.18,84,100,21.59,MH,1699831364
196,bilibino,68.0546,166.4372,8.8,96,100,4.27,RU,1699831866
197,capinzal,-27.3436,-51.6119,76.41,80,65,2.33,BR,1699831880
198,keflavik,64.0049,-22.5624,39.11,70,0,14.97,IS,1699831281
199,hithadhoo,-0.6,73.0833,81.1,79,92,5.59,MV,1699831368
200,nea artaki,38.5167,23.6333,68.04,71,100,3.49,GR,1699831880
201,kapa'a,22.0752,-159.319,84.18,80,40,20.71,US,1699831880
202,sylvan lake,52.3168,-114.0853,40.57,44,0,5.75,CA,1699831881
203,hamada,34.8833,132.0833,41.72,87,100,15.08,JP,1699831881
204,petropavlovsk-kamchatsky,53.0452,158.6483,27.19,74,75,28.01,RU,1699831881
205,jisr ash shughur,35.8143,36.3206,65.84,42,22,1.43,SY,1699831882
206,tofol,5.3248,163.0078,83.98,74,100,9.22,FM,1699831882
207,saipan,15.1355,145.701,86.7,74,20,16.11,MP,1699831882
208,mumford,5.2618,-0.759,79.88,86,5,8.25,GH,1699831882
209,ironwood,46.4547,-90.171,46.81,61,20,11.5,US,1699831304
210,kourou,5.1552,-52.6478,79.86,86,65,9.35,GF,1699831366
211,barclayville,4.6797,-8.2339,77.47,91,23,6.89,LR,1699831883
212,sumbe,-11.2061,13.8437,77.72,89,99,3.94,AO,1699831311
213,mabaruma,8.2,-59.7833,78.03,86,99,4.36,GY,1699831883
214,balvi,57.1313,27.2658,35.29,99,100,6.17,LV,1699831884
215,okhotsk,59.3833,143.3,2.25,80,1,22.3,RU,1699831884
216,victorica,-36.2151,-65.4359,55.92,27,5,5.97,AR,1699831885
217,rolante,-29.6506,-50.5758,72.66,99,96,3.89,BR,1699831885
218,kotlas,61.2611,46.6556,32.05,90,100,5.99,RU,1699831885
219,holualoa,19.6228,-155.9522,78.78,75,40,9.22,US,1699831885
220,karratha,-20.7377,116.8463,77.47,43,3,12.97,AU,1699831885
221,castillos,-34.1667,-53.8333,60.28,87,92,5.68,UY,1699831886
222,prado,-17.3411,-39.2208,76.68,82,37,15.41,BR,1699831886
223,debark',13.1561,37.8981,51.3,71,78,2.62,ET,1699831886
224,arraial do cabo,-22.9661,-42.0278,76.73,81,100,6.17,BR,1699831886
225,tura,25.5198,90.2201,63.41,85,0,4.18,IN,1699831887
